control_type,replicate,regime,lag_epochs,lag_label,valid,n_rows,n_subjects,max_baseline_eps_test,max_augmented_eps_test,max_conditional_lift,max_fraction_positive_lift,max_bic_improvement,max_ll_improvement,n_positive_lift_rows,n_strong_candidate_rows,n_multichannel_pair_rows,n_multichannel_positive_lift_rows,n_multichannel_strong_candidate_rows,eps_saturation_value,n_eps_saturated_rows,eps_saturation_fraction,collapsed_by_lift,collapsed_by_bic,collapsed_by_subject_fraction,collapsed_by_strong_candidates,collapsed_overall,reason
stage_preserving_rng_shuffle,3,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.1,-133.93763781210964,-3.7607624901154395,0,0,2,0,0,0.8,4,1.0,True,True,True,True,True,ok
stage_preserving_rng_shuffle,4,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.4,-131.84647158024563,-2.7151793741834354,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,5,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.3,-132.61118464272886,-3.0975359054250475,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,6,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.5,-145.33377916465406,-9.458833166387649,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,7,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.1,-135.21009018583936,-4.3969886769803,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,8,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.2,-133.32028217729567,-3.4520846727084518,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,9,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.1,-133.04773395506072,-3.315810561590979,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,10,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.2,-134.77415481560092,-4.17902099186108,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,11,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.4,-135.64199616742053,-4.612941667770883,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,0,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.7,-123.30514927111562,-1.5691301845336056,0,0,2,0,0,0.8,2,0.5,True,True,False,True,False,control_effect_survived
