regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason,control_type,replicate,control_seed,control_collapsed_overall
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-1871.495408657174,-1876.559998418712,-5.064589761537718,3758.7928314183328,3895.338123773287,-136.5452923549542,3746.990817314348,3789.119996837424,-42.12917952307544,10,1,0.1,ok,circular_rng_shift,6,430296,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2680.943082416291,-84.93854092824085,5732.799481121115,6443.466961122612,-710.6674800014971,5336.0090829761,5649.886164832582,-313.8770818564817,10,0,0.0,ok,circular_rng_shift,6,430296,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1268.915670190505,-1272.8538256517966,-3.938155461291899,2552.8522014937653,2680.895401318397,-128.0431998246322,2541.8313403810093,2581.707651303593,-39.8763109225838,10,3,0.3,ok,circular_rng_shift,6,430296,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11723.698686053893,-162.1839656806642,23772.627979696423,24746.59445000772,-973.966470311294,23267.029440746453,23735.397372107785,-468.3679313613284,10,0,0.0,ok,circular_rng_shift,7,431305,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-5745.301795909205,-5751.632799525257,-6.33100361605193,11508.647995678131,11665.665233788006,-157.0172381098746,11494.60359181841,11539.265599050514,-44.66200723210386,10,1,0.1,ok,circular_rng_shift,7,431305,True
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3423.3737138675942,-109.02121233016032,7197.630824408318,7984.59907040209,-786.9682459937712,6772.705003074868,7134.7474277351885,-362.0424246603207,10,1,0.1,ok,circular_rng_shift,7,431305,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-1872.441376375412,-1879.6112304135293,-7.169854038117592,3760.684766854808,3901.440587762922,-140.75582090811395,3748.8827527508233,3795.2224608270585,-46.33970807623518,10,3,0.3,ok,circular_rng_shift,7,431305,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2674.556531906232,-78.5519904181815,5732.799481121115,6430.693860102493,-697.8943789813784,5336.0090829761,5637.113063812463,-301.103980836363,10,1,0.1,ok,circular_rng_shift,7,431305,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1266.5964021556968,-1270.35088994924,-3.7544877935431487,2548.213665424149,2675.889529913284,-127.67586448913426,2537.192804311393,2576.70177989848,-39.5089755870863,10,4,0.4,ok,circular_rng_shift,7,431305,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11658.146446986848,-96.63172661362114,23772.627979696423,24615.48997187363,-842.8619921772079,23267.029440746453,23604.292893973696,-337.2634532272423,10,0,0.0,ok,circular_rng_shift,8,432314,True
