subject_id,model,label,diagnostic_mode,valid,train_rows,test_rows,n_states,n_components,eps_train,eps_test,ll_train,ll_test,bic_train,bic_test,aic_train,aic_test,transitions_per_state,transitions_per_observed_state,eps_eeg_baseline,eps_rng_baseline,baseline_max,lift_over_eeg,lift_over_rng,lift_over_baseline
SC4002,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,loso,True,24768,2829,8,2,0.0,0.0,-42728.76987944997,-4909.180447712994,86034.2055861808,10271.358421965926,85571.53975889993,9932.360895425987,3449.5,3449.5,0.0,0.0,0.0,0.0,0.0,0.0
SC4002,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,loso,True,24768,2829,18,3,0.0,0.0,-49466.89708587007,-5560.722633550132,102039.6960835862,13561.274050394317,99547.79417174014,11735.445267100264,1533.111111111111,1533.111111111111,0.0,0.0,0.0,0.0,0.0,0.0
SC4002,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,loso,True,24768,2829,9,2,0.0,0.0,-41359.33300754095,-4770.965065286309,83457.20295177493,10122.08485754482,82864.6660150819,9687.930130572619,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4002,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,loso,True,24768,2829,9,2,0.01,0.08,-30565.835018100803,-2913.189490834814,61870.206972894644,6406.533708641829,61277.670036201605,5972.378981669628,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.08,0.08,0.08
SC4002,M4_latent_joint,Latent joint model: latent_state x rng_bit,loso,True,24768,2829,6,2,0.0,0.0,-32431.168217459148,-3935.757701936559,65175.96170940438,8117.882479710628,64924.336434918296,7933.515403873118,4599.333333333333,4599.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4002,M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,loso,True,24768,2829,27,3,0.0,0.0,-47941.88980730721,-5787.279155004183,102995.99148441176,17161.52780400094,97289.77961461442,12980.558310008366,1022.074074074074,1314.095238095238,0.0,0.0,0.0,0.0,0.0,0.0
SC4011,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,loso,True,24795,2802,9,2,0.0,0.01,-33093.55911489944,-3191.9014246308084,66925.7347305325,6963.257268855605,66333.11822979889,6529.802849261617,3066.222222222222,3066.222222222222,0.01,0.07,0.07,0.0,-0.060000000000000005,-0.060000000000000005
SC4011,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,loso,True,24795,2802,6,2,0.0,0.07,-32580.597961410338,-3672.615069375825,65474.854984776044,7591.299823784713,65223.195922820676,7407.23013875165,4599.333333333333,4599.333333333333,0.01,0.07,0.07,0.060000000000000005,0.0,0.0
SC4011,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,loso,True,24795,2802,8,2,0.0,0.0,-42869.58277881864,-4808.299205469345,86315.8935102649,10069.049122128516,85853.16555763729,9730.59841093869,3449.5,3449.5,0.01,0.07,0.07,-0.01,-0.07,-0.07
SC4011,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,loso,True,24795,2802,18,3,0.0,0.0,-50171.06314332169,-5144.261062327428,103448.3628034272,12725.405779659708,100956.12628664338,10902.522124654855,1533.111111111111,1533.111111111111,0.01,0.07,0.07,-0.01,-0.07,-0.07
SC4011,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,loso,True,24795,2802,9,2,0.0,0.0,-41608.78019916532,-4597.790597292609,83956.17689906424,9775.035614179207,83363.56039833064,9341.581194585218,3066.222222222222,3066.222222222222,0.01,0.07,0.07,-0.01,-0.07,-0.07
SC4011,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,loso,True,24795,2802,9,2,0.01,0.0,-30543.241895324132,-3051.3685585838653,61825.100291381874,6682.191536761718,61232.483790648264,6248.7371171677305,3066.222222222222,3066.222222222222,0.01,0.07,0.07,-0.01,-0.07,-0.07
SC4011,M4_latent_joint,Latent joint model: latent_state x rng_bit,loso,True,24795,2802,6,2,0.0,0.0,-30725.549783639464,-3740.580607976421,61764.7586292343,7727.2309009859055,61513.09956727893,7543.161215952842,4599.333333333333,4599.333333333333,0.01,0.07,0.07,-0.01,-0.07,-0.07
SC4011,M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,loso,True,24795,2802,27,3,0.0,0.01,-46346.68407305978,-5502.491705770424,99806.34622852682,16585.208849548704,94099.36814611957,12410.983411540848,1022.074074074074,1314.095238095238,0.01,0.07,0.07,0.0,-0.060000000000000005,-0.060000000000000005
SC4012,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,loso,True,24749,2848,9,2,0.0,0.0,-32780.927819944896,-3375.3107788177713,66300.33653504388,7331.265097006839,65707.85563988979,6896.621557635543,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,loso,True,24749,2848,6,2,0.0,0.0,-32562.983202323834,-3690.148686815934,65439.56788067201,7626.872027337487,65187.96640464767,7442.297373631868,4599.333333333333,4599.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,loso,True,24749,2848,8,2,0.0,0.0,-42859.454130756414,-4826.267459892565,86295.53033033178,10105.914121759979,85832.90826151283,9766.53491978513,3449.5,3449.5,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,loso,True,24749,2848,18,3,0.0,0.0,-49828.96202600737,-5357.077692825404,102763.5902823203,13156.039859445165,100271.92405201474,11328.155385650807,1533.111111111111,1533.111111111111,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,loso,True,24749,2848,9,2,0.0,0.0,-41539.15100139175,-4659.082464386104,83816.78289793759,9898.808468143505,83224.3020027835,9464.164928772208,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,loso,True,24749,2848,9,2,0.0,0.0,-30351.43168432964,-3146.4276932618914,61441.34426381337,6873.498925895079,60848.86336865928,6438.855386523783,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M4_latent_joint,Latent joint model: latent_state x rng_bit,loso,True,24749,2848,6,2,0.0,0.0,-31474.28617499037,-3706.940053685252,63262.173826005084,7660.454761076124,63010.57234998074,7475.880107370504,4599.333333333333,4599.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,loso,True,24749,2848,27,3,0.0,0.0,-47087.668097248956,-5481.136612356779,101287.00837659829,16553.950049070016,95581.33619449791,12368.273224713557,1022.074074074074,1314.095238095238,0.0,0.0,0.0,0.0,0.0,0.0
SC4021,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,loso,True,24793,2804,9,2,0.0,0.0,-31890.971240133553,-4243.064658012479,64520.55309034104,9065.635841259988,63927.942480267106,8632.129316024959,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4021,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,loso,True,24793,2804,6,2,0.0,0.0,-32551.050291403757,-3702.5676157603093,65415.75714324987,7651.227043606727,65164.100582807514,7467.135231520619,4599.333333333333,4599.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4021,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,loso,True,24793,2804,8,2,0.0,0.0,-43079.60719631882,-4714.583922699467,86735.93774570907,9881.659241815327,86273.21439263764,9543.167845398933,3449.5,3449.5,0.0,0.0,0.0,0.0,0.0,0.0
SC4021,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,loso,True,24793,2804,18,3,0.0,0.0,-48959.740016701,-6200.496700837967,101025.69177713759,14838.096185883525,98533.480033402,13014.993401675934,1533.111111111111,1533.111111111111,0.0,0.0,0.0,0.0,0.0,0.0
SC4021,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,loso,True,24793,2804,9,2,0.0,0.0,-41545.86239608991,-4619.120823892709,83830.33540225377,9817.748173020449,83237.72479217983,9384.241647785419,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4021,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,loso,True,24793,2804,9,2,0.01,0.0,-29516.769401461683,-3994.4273851690436,59772.1494129973,8568.361295573117,59179.538802923365,8134.854770338087,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4021,M4_latent_joint,Latent joint model: latent_state x rng_bit,loso,True,24793,2804,6,2,0.0,0.0,-32930.20398422217,-3818.2285102209876,66174.0645288867,7882.548832528084,65922.40796844434,7698.457020441975,4599.333333333333,4599.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4021,M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,loso,True,24793,2804,27,3,0.0,0.0,-48493.58305413917,-5628.70497621999,104100.08746282596,16838.13717490883,98393.16610827834,12663.40995243998,1022.074074074074,1314.095238095238,0.0,0.0,0.0,0.0,0.0,0.0
SC4022,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,loso,True,24842,2755,9,2,0.0,0.0,-32928.29229796501,-3428.3296564337593,66595.33939050374,7434.8784194555865,66002.58459593002,7002.659312867519,3066.222222222222,3066.222222222222,0.0,0.8,0.8,0.0,-0.8,-0.8
SC4022,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,loso,True,24842,2755,6,2,0.0,0.8,-32619.23741193406,-3632.579248569986,65552.19261334462,7510.7035971979185,65300.47482386812,7327.158497139972,4599.333333333333,4599.333333333333,0.0,0.8,0.8,0.8,0.0,0.0
SC4022,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,loso,True,24842,2755,8,2,0.0,0.0,-42574.131661827574,-5103.52565141544,85725.09925914422,10658.53745455033,85262.26332365515,10321.05130283088,3449.5,3449.5,0.0,0.8,0.8,0.0,-0.8,-0.8
SC4022,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,loso,True,24842,2755,18,3,0.0,0.0,-50032.413936859135,-5350.270312125694,103171.645982405,13132.229195792988,100678.82787371827,11314.540624251387,1533.111111111111,1533.111111111111,0.0,0.8,0.8,0.0,-0.8,-0.8
SC4022,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,loso,True,24842,2755,9,2,0.0,0.0,-41320.37852958145,-4860.647891835239,83379.51185373662,10299.514890258544,82786.7570591629,9867.295783670477,3066.222222222222,3066.222222222222,0.0,0.8,0.8,0.0,-0.8,-0.8
SC4022,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,loso,True,24842,2755,9,2,0.0,0.0,-30775.87553542484,-2897.0208537312133,62290.505865423394,6372.260814050494,61697.75107084968,5940.0417074624265,3066.222222222222,3066.222222222222,0.0,0.8,0.8,0.0,-0.8,-0.8
SC4022,M4_latent_joint,Latent joint model: latent_state x rng_bit,loso,True,24842,2755,6,2,0.0,0.0,-31664.12969089584,-3762.398513081332,63641.97717126819,7770.342126220611,63390.25938179168,7586.797026162664,4599.333333333333,4599.333333333333,0.0,0.8,0.8,0.0,-0.8,-0.8
SC4022,M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,loso,True,24842,2755,27,3,0.0,0.0,-47278.94074581303,-5525.838633083533,101672.19136265789,16620.00647070695,95963.88149162606,12457.677266167066,1022.074074074074,1314.095238095238,0.0,0.8,0.8,0.0,-0.8,-0.8
SC4031,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,loso,True,24777,2820,9,2,0.0,0.08,-32746.246571657204,-3423.1251472251347,66231.05661099084,7426.172331301599,65638.49314331441,6992.250294450269,3066.222222222222,3066.222222222222,0.08,0.0,0.08,0.0,0.08,0.0
SC4031,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,loso,True,24777,2820,6,2,0.0,0.0,-32563.36622993543,-3689.3663217831804,65440.36900093893,7625.000905790898,65188.73245987086,7440.732643566361,4599.333333333333,4599.333333333333,0.08,0.0,0.08,-0.08,0.0,-0.08
SC4031,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,loso,True,24777,2820,8,2,0.0,0.0,-43059.960989893065,-4698.990956838553,86696.60852304033,9850.79775067061,86233.92197978613,9511.981913677106,3449.5,3449.5,0.08,0.0,0.08,-0.08,0.0,-0.08
SC4031,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,loso,True,24777,2820,18,3,0.0,0.0,-49804.610755933674,-5405.42523715679,102715.23499921891,13249.700684085612,100223.22151186735,11424.85047431358,1533.111111111111,1533.111111111111,0.08,0.0,0.08,-0.08,0.0,-0.08
SC4031,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,loso,True,24777,2820,9,2,0.0,0.0,-41619.32285144149,-4520.9786028847975,83977.2091705594,9621.879242620926,83384.64570288298,9187.957205769595,3066.222222222222,3066.222222222222,0.08,0.0,0.08,-0.08,0.0,-0.08
SC4031,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,loso,True,24777,2820,9,2,0.01,0.0,-30384.73338831041,-3208.664510394647,61508.03024429725,6997.251057640624,60915.46677662082,6563.329020789294,3066.222222222222,3066.222222222222,0.08,0.0,0.08,-0.08,0.0,-0.08
